"x","model","probability","SEmax","SEmin"
4.1319450935,"mod4",0.870217809522403,0.840825276851962,0.894861506852304
4.1319450935,"mod1",0.930285128268069,0.926569010827982,0.933826615285415
4.1319450935,"mod3",0.913905024054777,0.894660232474115,0.929909381029177
4.38817852840703,"mod4",0.870516281967448,0.841001786611017,0.895234560419467
4.38817852840703,"mod1",0.930558971086098,0.926769514941935,0.93416626393381
4.38817852840703,"mod3",0.914126121832391,0.894800457464761,0.930178592273312
4.64441196331407,"mod4",0.870814169888464,0.84117813760896,0.895606444732034
4.64441196331407,"mod1",0.930831818215983,0.926969514728499,0.934504291535812
4.64441196331407,"mod3",0.914346705030799,0.894940517712053,0.930446846843004
4.9006453982211,"mod4",0.871111473961607,0.841354329906596,0.895977162359769
4.9006453982211,"mod1",0.931103672650496,0.927169011220752,0.934840704575146
4.9006453982211,"mod3",0.914566774574492,0.895080413351199,0.930714147544514
5.15687883312814,"mod4",0.871408194864464,0.841530363564894,0.896346715874684
5.15687883312814,"mod1",0.931374537378371,0.92736800545095,0.935175509522521
5.15687883312814,"mod3",0.914786331387715,0.895220144517452,0.930980497180457
5.41311226803517,"mod4",0.87170433327604,0.841706238644991,0.896715107850959
5.41311226803517,"mod1",0.931644415384263,0.927566498450519,0.935508712835514
5.41311226803517,"mod3",0.915005376394459,0.895359711346111,0.931245898549763
5.66934570294221,"mod4",0.871999889876744,0.841881955208189,0.897082340864885
5.66934570294221,"mod1",0.931913309648715,0.927764491250049,0.935840320958452
5.66934570294221,"mod3",0.915223910518456,0.895499113972524,0.931510354447649
5.92557913784925,"mod4",0.872294865348377,0.842057513315956,0.897448417494785
5.92557913784925,"mod1",0.932181223148119,0.927961984879286,0.936170340322299
5.92557913784925,"mod3",0.915441934683166,0.895638352532082,0.931773867665578
6.18181257275628,"mod4",0.872589260374124,0.842232913029924,0.897813340320953
6.18181257275628,"mod1",0.93244815885468,0.928158980367126,0.936498777344539
6.18181257275628,"mod3",0.915659449811771,0.895777427160219,0.932036440991231
6.43804600766332,"mod4",0.872883075638532,0.842408154411889,0.898177111925581
6.43804600766332,"mod1",0.932714119736378,0.928355478741605,0.936825638429066
6.43804600766332,"mod3",0.915876456827168,0.895916337992416,0.932298077208473
6.69427944257035,"mod4",0.87317631182751,0.842583237523813,0.898539734892696
6.69427944257035,"mod1",0.932979108756937,0.928551481029896,0.937150929966075
6.69427944257035,"mod3",0.916092956651957,0.896055085164197,0.932558779097322
6.95051287747739,"mod4",0.873468969628304,0.842758162427818,0.898901211808089
6.95051287747739,"mod1",0.933243128875788,0.928746988258299,0.937474658331954
6.95051287747739,"mod3",0.916308950208437,0.896193668811128,0.932818549433914
7.20674631238442,"mod4",0.873761049729496,0.842932929186193,0.89926154525925
7.20674631238442,"mod1",0.93350618304803,0.928942001452237,0.937796829889178
