"probability_mod4","SE_max_mod4","SE_low_mod4","probability_mod1","SE_max_mod1","SE_min_mod1","probability_mod3","SE_max_mod3","SE_min_mod3","x"
0.165206502403875,0.178680435853311,0.152559881685717,0.0920289748090873,0.0921901828026626,0.0918680201841021,0.097972514360402,0.105526187937927,0.090904589700283,-3
0.164920625758774,0.178457630895498,0.152220215685862,0.0917978917997098,0.0920034537420756,0.0915927428117627,0.097772200403831,0.105364393817258,0.0906716287138475,-2.96984924623116
0.164635146239923,0.178235043472405,0.151881170395992,0.0915673305186594,0.0918170646436449,0.0913182073486176,0.0975722517057127,0.105202818585486,0.0904392053440182,-2.93969849246231
0.164350063633288,0.178012673522012,0.151542745285277,0.091337290081688,0.0916310150433136,0.0910444122918267,0.0973726677810985,0.105041462035919,0.0902073186543196,-2.90954773869347
0.164065377723727,0.177790520981918,0.151204939820546,0.0911077696045552,0.0914453044770242,0.0907713561385844,0.0971734481449337,0.104880323961778,0.0899759677083315,-2.87939698492462
0.163781088294991,0.177568585789341,0.1508677534663,0.0908787682030367,0.0912599324807208,0.0904990373861406,0.096974592312061,0.104719404156203,0.0897451515696982,-2.84924623115578
0.163497195129731,0.177346867881123,0.150531185684731,0.0906502849929333,0.0910748985903528,0.090227454531823,0.0967760997972241,0.104558702412255,0.0895148693021385,-2.81909547738693
0.163213698009498,0.177125367193727,0.150195235935729,0.0904223190900798,0.0908902023418777,0.0899566060730579,0.096577970115072,0.104398218522911,0.0892851199694547,-2.78894472361809
0.162930596714752,0.176904083663241,0.149859903676903,0.0901948696103536,0.090705843271264,0.0896864905073912,0.0963802027801619,0.104237952281072,0.0890559026355426,-2.75879396984925
0.162647891024865,0.176683017225377,0.149525188363589,0.0899679356696842,0.0905218209144946,0.0894171063325104,0.0961827973069636,0.104077903479559,0.0888272163644006,-2.7286432160804
0.162365580718125,0.176462167815473,0.14919108944887,0.0897415163840612,0.0903381348075697,0.0891484520462646,0.0959857532098628,0.103918071911116,0.0885990602201393,-2.69849246231156
0.162083665571741,0.176241535368495,0.148857606383584,0.0895156108695433,0.0901547844865094,0.0888805261466856,0.0957890700031649,0.103758457368412,0.0883714332669904,-2.66834170854271
0.161802145361846,0.176021119819033,0.148524738616343,0.089290218242267,0.0899717694873573,0.0886133271320088,0.0955927472010987,0.10359905964404,0.0881443345693168,-2.63819095477387
