"","V1","V2"
"1",49027.0438241029,32.4103891897923
"2",49027.0015421523,32.4448686009005
"3",49025.679778911,32.4879905533793
"4",49025.6312885358,32.5238868471729
"5",49029.0491939544,32.4244242750613
"6",49029.0134373418,32.4572290364738
"7",49027.7200422418,32.4997831850431
"8",49027.6783913351,32.533862578928
"9",49030.1419183722,32.3880322674185
"10",49030.1129497359,32.4191147312922
"11",49028.8818117129,32.4619627826739
"12",49028.8480756365,32.494518497498
"13",49025.8504128933,32.5717077717621
"14",49026.0616983611,32.591418925052
"15",49025.8871094319,32.5410450400379
"16",49026.0898622094,32.5613664112784
"17",49027.0541829212,32.5056897059424
"18",49027.2301132774,32.526376060605
"19",49027.0245872776,32.5347725582653
"20",49027.2086799362,32.5546348789379
"21",49023.8398565478,32.5305367837194
"22",49024.0481781566,32.5526116802393
"23",49023.7969725058,32.563033272661
"24",49024.0140016469,32.5845157155322
