"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.5398395117724,0.120545784886399,-12.773897596034,2.29374543435356e-37
"eexp",0.00769501106177489,0.0131720746127293,0.584191274952126,0.559091631006687
"SMKC_102",-0.0747947632461992,0.164794158047119,-0.453867807770306,0.649923975196535
"SMKC_103",0.176518328433277,0.324476294575996,0.544009936577768,0.586434635084819
"SMKC_106",-0.112102802159321,0.0416978062703344,-2.68845803140189,0.00717828584931782
"SMKC_2022",-0.255918174922872,0.0814156347202997,-3.14335417026557,0.00167023616088752
"SMKC_2023",-0.459126220240848,0.0505067726628575,-9.09038919009149,9.86851656448122e-20
"SMKC_2024",-0.304025202921829,0.549001020812711,-0.553778939193531,0.579730143474041
"ALCEDWKY",0.030078955909745,0.016373288194076,1.83707484734971,0.0661988467607723
"FVCDVTOT",-0.0165956535350354,0.0170752407805856,-0.971913295296225,0.331093684947491
"married2",0.104759072368031,0.0602192232076086,1.73962842408095,0.0819242848639927
"married3",-0.177658396608819,0.0780686871162371,-2.27566778911373,0.0228659006403563
"married4",0.262197369140877,0.0834448522037871,3.14216350339437,0.00167704356897343
"married5",0.218383207029762,0.0572128866161994,3.81702829459977,0.00013506868569098
"married6",-0.0344149641204787,0.0428084752472991,-0.803928752931933,0.421438123323829
"married7",0.472536000043595,0.325799646267395,1.45038831520329,0.146950263684391
"job1",0.489465093179354,0.0437887279174627,11.1778787934179,5.23257285493582e-29
"job2",-0.0246137755156081,0.0740913756142327,-0.332208375287338,0.739731919997797
"white1",0.273358290704457,0.0721851796871624,3.78690323815973,0.00015253646580024
"white2",0.287152960247024,0.0821572917756149,3.49516097769247,0.000473775914241357
"imi2",0.298401458905138,0.26721745266703,1.11669898776022,0.264123050810402
"imi3",1.06843943028809,1.42868662142076,0.747847298538833,0.454552268926131
"imi7",0.0742384276104393,0.0657039063617033,1.12989366570921,0.258521033369414
"INCDHH",-0.0343889958920584,0.0177742446887918,-1.93476552698431,0.0530190751881307
"EHG2DVR32",-0.187506883011391,0.0657986169119474,-2.84970857764861,0.00437593032938705
"EHG2DVR33",-0.061465801211466,0.060873535119631,-1.00972945124135,0.312624928256465
"EHG2DVR34",-0.0376062724562046,0.0806639460522798,-0.466209183863026,0.641065776270467
"DHHE_SEX2",0.294092465899686,0.0322595589578623,9.11644409906014,7.76296220280845e-20
"DHH_AGE",-0.21603367217101,0.0237821461157845,-9.08385942627883,1.04791593231852e-19
"treediv",0.00399018261012836,0.0181377972629617,0.219992678949858,0.82587685639705
"DistancetoLocation",0.00137127765729053,0.0159247461907318,0.0861098595146602,0.931379085979746
"ModeledSRich",-0.0195558380013508,0.0160926111068553,-1.21520602663543,0.224287522443094
"ndvi",0.0804696743465042,0.034660907032488,2.32162632879397,0.0202530649358623
"YEAR",0.0271865321592949,0.0491857252136797,0.552732160422303,0.580446827930237
"bluedist",0.0101413445050211,0.018686214640592,0.542717971514205,0.587323998593821
"greendist",-0.0141202359703792,0.018128445816774,-0.778899422106768,0.436038964396505
"PropBlue",-0.0109613913529017,0.0160765637513151,-0.681824270563108,0.495350075461487
"PropGreen",-0.00848417170498322,0.0174583398957216,-0.485966693033761,0.626990781017606
"area_m",0.00380714987860122,0.0101311235871776,0.37578752700438,0.707074861334318
