"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-2.65583047822368,0.0755208663662174,-35.1668433641237,6.4264487425081e-271
"treerich",-0.129506024566221,0.0391717731307923,-3.3061057546159,0.000946023749512404
"DistancetoLocation",-0.00529772363622389,0.0270230511433256,-0.196044614211981,0.844575246380638
"ModeledSDiv",-0.0904591482146815,0.0272602606783061,-3.31835228144644,0.000905502031711688
"ndvi500",-0.0315637562749981,0.0401241537586575,-0.78665226100096,0.43148545717641
"YEAR",0.182148724402982,0.0690159435345644,2.63922675072549,0.0083095380784757
"bluedist",0.0984150279128877,0.0303921174984095,3.23817608029575,0.00120296539169958
"greendist",-0.0239471088804386,0.031778635742745,-0.753560004095069,0.451113468122578
"PropBlue",-0.0410423469420731,0.0296926172242593,-1.38224079851543,0.16689777686491
"PropGreen",-0.0544398968264803,0.0391402491601839,-1.39089295532284,0.16425788935954
"area_m",-0.00141440225110112,0.0332585436013037,-0.0425274861117394,0.966078200817682
