"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-2.77332875390555,0.0820414347162843,-33.8040011549808,1.72250990472775e-250
"DHHE_SEX2",0.144720527994531,0.0534372904335953,2.70823102781324,0.00676429170374415
"DHH_AGE",-0.305158999482927,0.026886209764791,-11.3500192906532,7.4146340868701e-30
"treerich",-0.131041013154953,0.0392476288019581,-3.33882624645124,0.000841331711627433
"DistancetoLocation",-0.0113740087405763,0.0271198558887739,-0.419397831139821,0.674925408916785
"ModeledSDiv",-0.0844397637601602,0.0272356437953594,-3.10034028916722,0.0019329842724846
"ndvi500",-0.0615123850557065,0.040205054044645,-1.52996648101507,0.126025025946858
"YEAR",0.197977474775711,0.0689870426846857,2.86977767231729,0.00410760502492057
"bluedist",0.0873020904130566,0.0307085218088272,2.84292715085886,0.00447012865084369
"greendist",-0.0384930891189784,0.032068376669321,-1.20034417444659,0.230005700289252
"PropBlue",-0.0344836074084791,0.029645810187887,-1.16318654102996,0.244753825982329
"PropGreen",-0.0542309546413394,0.0391538442942753,-1.38507356349855,0.166029974589549
"area_m",3.34049275548323e-05,0.0334171131655667,0.000999635348191987,0.99920240652208
