"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.75928349530408,0.166296980277026,-10.5791668157376,3.72253688338873e-26
"eexp",-0.0015084052921778,0.0151440804764406,-0.0996036236418844,0.9206590168847
"SMKC_102",0.163463137726744,0.167969480476896,0.973171657509703,0.330467994639238
"SMKC_103",0.210488093377561,0.378979788528062,0.555407174074074,0.578616186659842
"SMKC_106",-0.0886205869916854,0.0439457097180774,-2.01659246284127,0.0437380602252136
"SMKC_2022",-0.198708426824448,0.0945346452941697,-2.1019640599075,0.0355564242151165
"SMKC_2023",-0.451027652308363,0.0567078522076707,-7.95353085595003,1.812696057015e-15
"SMKC_2024",-0.774306368972005,0.630275809583254,-1.22851989113145,0.219251867083308
"ALCEDWKY",-0.0101205440905199,0.0194628466763904,-0.519993003017219,0.603068451895026
"FVCDVTOT",-0.0270039754912111,0.0191771549025007,-1.40813252166461,0.159091832627635
"married2",0.143214359416194,0.0595986979318486,2.40297799089437,0.0162621661475055
"married3",-0.12894047174388,0.078989840370438,-1.63236779741786,0.102602028735393
"married4",0.404725726340982,0.0910746035765988,4.44389226465954,8.83458560191491e-06
"married5",0.158539318931849,0.0666991775642116,2.37693064174926,0.0174573703198937
"married6",-0.0132996490902131,0.0536165474647795,-0.248051202829678,0.80409479032631
"married7",0.440987282165072,0.419905157586396,1.05020687218956,0.293623010638118
"job1",0.604127021028221,0.0513488622059815,11.7651491206332,5.90219674991414e-32
"job2",-0.00601500448707332,0.0756622867620537,-0.0794980530523692,0.936636480152688
"white1",0.162052461281721,0.120732288085846,1.34224625285404,0.179516163989211
"white2",0.334118544706874,0.122750739562348,2.72192693826637,0.00649024896810552
"imi2",-0.465427781511109,0.641541083719222,-0.725483984303659,0.468155166715306
"imi7",0.0450522524377517,0.0834412951171813,0.539927530780559,0.589247010792084
"INCDHH",-0.00306598146630211,0.00625378648969297,-0.490260016288569,0.623949916598653
"EHG2DVR32",-0.126150020974889,0.0746228019443885,-1.69050233558505,0.0909318918037176
"EHG2DVR33",0.0663612871009524,0.0682358536702617,0.972528129004324,0.330787878025832
"EHG2DVR34",0.0268972122820318,0.0932527376939818,0.288433486749716,0.773014937656195
"DHHE_SEX2",0.313914164889275,0.0374534168462815,8.38145598778504,5.22769502538204e-17
"DHH_AGE",-0.260497763112579,0.0289255053250607,-9.00581546234517,2.14068922686811e-19
"treediv",0.0203824007100452,0.021624435387638,0.942563370773468,0.345904282927393
"DistancetoLocation",0.014445331178997,0.018134925487866,0.796547589272553,0.425713826477938
"dist_ChaoEstimated_SpDiv",0.026313222930089,0.0184475414691451,1.42638101527512,0.153758390657919
"ndvi",0.085665461166371,0.0413471449301804,2.07185916490794,0.038278577138164
"YEAR",-0.0180700025612264,0.0590022001662587,-0.306259809130982,0.759406837525789
"bluedist",0.0228116656255214,0.0212696265495881,1.07249958396487,0.283495700717336
"greendist",-0.00785240929920343,0.0209164335681861,-0.375418174116784,0.707349490696246
"PropBlue",-0.0191845966412459,0.0195793727739024,-0.979837140994488,0.327166515366959
"PropGreen",-0.0112851953787984,0.0235959999180284,-0.478267308781266,0.63245996108338
"area_m",-0.0250710308216798,0.020469507328869,-1.22479893721336,0.220650985511776
