"","variable","Estimate","std.error","z.value","P","mod","data","group"
"19","Modeled bird Shannon diversity",-0.0687980236050883,0.0184190280383924,-3.73516037120344,0.000187595600339439,"Health","both","Biodiversity"
"20","Greenness within 500m buffer (NDVI)",-0.0254839044135001,0.0445748660606303,-0.571710173595074,0.567518340928012,"Health","both","Biodiversity"
"21","Distance to blue space",0.035803244906383,0.0205626609066434,1.74117761650272,0.0816524495092281,"Health","both","Biodiversity"
"22","Distance to green space",-0.00897234926785894,0.0207010459289935,-0.433424924452365,0.664706096500655,"Health","both","Biodiversity"
"23","Proportion of blue space",-0.0124532260171412,0.019344204385414,-0.643770390811796,0.519724336720621,"Health","both","Biodiversity"
"24","Proportion of green space",-0.0349888652217551,0.0251562757216382,-1.39086030098086,0.164267793150236,"Health","both","Biodiversity"
"25","Tree species richness",-0.108135888368321,0.075568444808497,-1.43096617433845,0.152439909763494,"Health","low","Biodiversity"
"26","Distance to nearest ebird hotspot",0.0947384036718556,0.0540168143528222,1.75386876858476,0.0794529961848447,"Health","low","Biodiversity"
"27","Modeled bird Shannon diversity",-0.0243568188285283,0.060376811689697,-0.403413465316928,0.686644082569418,"Health","low","Biodiversity"
"28","Greenness within 500m buffer (NDVI)",0.0168394690809954,0.173838121745288,0.096868678238879,0.922830682942109,"Health","low","Biodiversity"
"29","Distance to blue space",0.0486058919808066,0.0637728484202185,0.762172196865471,0.445957237660054,"Health","low","Biodiversity"
"30","Distance to green space",0.163349554984229,0.0630033412766827,2.59271257165346,0.00952223149993445,"Health","low","Biodiversity"
"31","Proportion of blue space",0.0558983372725041,0.0533458605327695,1.04784770016348,0.294708781566933,"Health","low","Biodiversity"
"32","Proportion of green space",0.0310159226738676,0.0656253565727812,0.47262101562023,0.636483586317293,"Health","low","Biodiversity"
"33","Tree species richness",-0.0772020952045859,0.0301852767219772,-2.55760766799188,0.0105394925598976,"Biodiversity","low","Biodiversity"
"34","Distance to nearest ebird hotspot",0.0201560012915737,0.0229718106857548,0.877423271822134,0.380256777459879,"Biodiversity","low","Biodiversity"
"35","Modeled bird Shannon diversity",-0.0899988819434324,0.0230016060307288,-3.91272165183593,9.12617066055e-05,"Biodiversity","low","Biodiversity"
"36","Greenness within 500m buffer (NDVI)",-0.0397740032485311,0.0333554891847152,-1.1924275200484,0.233093654852577,"Biodiversity","low","Biodiversity"
"37","Distance to blue space",0.0683965302150489,0.0256683273232095,2.66462747470125,0.00770736490640775,"Biodiversity","low","Biodiversity"
"38","Distance to green space",0.0177658936702275,0.0254953081716292,0.69682992457401,0.485909236362624,"Biodiversity","low","Biodiversity"
"39","Proportion of blue space",-0.00682783367003625,0.023674312198403,-0.288406844212219,0.77303532928867,"Biodiversity","low","Biodiversity"
"40","Proportion of green space",-0.0366787176906075,0.0283545429949752,-1.29357463800801,0.195812387560904,"Biodiversity","low","Biodiversity"
"41","Tree species richness",-0.0319928626206222,0.0325356011100903,-0.983318627259057,0.325450645183145,"Socio-demographic","low","Biodiversity"
"42","Distance to nearest ebird hotspot",0.0178274280508254,0.0240709070816122,0.74062136463664,0.458923050277649,"Socio-demographic","low","Biodiversity"
"43","Modeled bird Shannon diversity",-0.0760405680465872,0.0241323056185271,-3.15098645146482,0.0016272003820953,"Socio-demographic","low","Biodiversity"
"44","Greenness within 500m buffer (NDVI)",-0.0556712892093218,0.0588626872939839,-0.945782324399786,0.344259622783509,"Socio-demographic","low","Biodiversity"
"45","Distance to blue space",0.0141841798038088,0.0267406939280527,0.530434245348013,0.595810887752484,"Socio-demographic","low","Biodiversity"
"46","Distance to green space",0.0032150972640783,0.026519642802792,0.121234561414975,0.903505249952117,"Socio-demographic","low","Biodiversity"
"47","Proportion of blue space",-0.0125337208953235,0.0237664997416129,-0.527369239542586,0.597937200345114,"Socio-demographic","low","Biodiversity"
"48","Proportion of green space",-0.0454460051492891,0.0293367108067785,-1.54911726296148,0.121353533769108,"Socio-demographic","low","Biodiversity"
"49","Tree species richness",-0.181360963901922,0.0901948931093614,-2.01076754625145,0.0443500155889658,"Health","high","Biodiversity"
"50","Distance to nearest ebird hotspot",-0.0120707222636558,0.0615967124616801,-0.195963741915043,0.844638545483593,"Health","high","Biodiversity"
"51","Modeled bird Shannon diversity",0.11046385302333,0.0737872474622205,1.49705886616639,0.134377941618014,"Health","high","Biodiversity"
"52","Greenness within 500m buffer (NDVI)",0.0756100749055827,0.217356424429436,0.347862158222654,0.727943705801257,"Health","high","Biodiversity"
"53","Distance to blue space",0.111699654416536,0.0675386223873666,1.65386338169418,0.0981552743283241,"Health","high","Biodiversity"
"54","Distance to green space",0.00924138547251614,0.0725852369600904,0.127317700672347,0.898688951202107,"Health","high","Biodiversity"
"55","Proportion of blue space",-0.0257942925535979,0.0743006809049523,-0.347160917496769,0.728470430346053,"Health","high","Biodiversity"
"56","Proportion of green space",0.0326316799401281,0.0923386426349407,0.35339137558191,0.723795050555988,"Health","high","Biodiversity"
"57","Tree species richness",-0.129506024566221,0.0391717731307923,-3.3061057546159,0.000946023749512404,"Biodiversity","high","Biodiversity"
"58","Distance to nearest ebird hotspot",-0.00529772363622389,0.0270230511433256,-0.196044614211981,0.844575246380638,"Biodiversity","high","Biodiversity"
"59","Modeled bird Shannon diversity",-0.0904591482146815,0.0272602606783061,-3.31835228144644,0.000905502031711688,"Biodiversity","high","Biodiversity"
"60","Greenness within 500m buffer (NDVI)",-0.0315637562749981,0.0401241537586575,-0.78665226100096,0.43148545717641,"Biodiversity","high","Biodiversity"
"61","Distance to blue space",0.0984150279128877,0.0303921174984095,3.23817608029575,0.00120296539169958,"Biodiversity","high","Biodiversity"
"62","Distance to green space",-0.0239471088804386,0.031778635742745,-0.753560004095069,0.451113468122578,"Biodiversity","high","Biodiversity"
"63","Proportion of blue space",-0.0410423469420731,0.0296926172242593,-1.38224079851543,0.16689777686491,"Biodiversity","high","Biodiversity"
"64","Proportion of green space",-0.0544398968264803,0.0391402491601839,-1.39089295532284,0.16425788935954,"Biodiversity","high","Biodiversity"
"65","Tree species richness",-0.0861293002566748,0.0405497715247286,-2.12403910103785,0.0336668741026222,"Socio-demographic","high","Biodiversity"
"66","Distance to nearest ebird hotspot",-0.0131144159258196,0.0279225258099744,-0.469671548163987,0.638589698302417,"Socio-demographic","high","Biodiversity"
"67","Modeled bird Shannon diversity",-0.0715512530421694,0.0279753880380841,-2.5576500652918,0.0105382078144325,"Socio-demographic","high","Biodiversity"
"68","Greenness within 500m buffer (NDVI)",0.048378978239616,0.0663130482139471,0.729554432236774,0.465662584334293,"Socio-demographic","high","Biodiversity"
"69","Distance to blue space",0.0545004083001885,0.0316186843546719,1.72367729437597,0.0847661161907187,"Socio-demographic","high","Biodiversity"
"70","Distance to green space",-0.0205304188872063,0.032555375311558,-0.630630692803517,0.528282025397676,"Socio-demographic","high","Biodiversity"
"71","Proportion of blue space",-0.0144935440423772,0.0301426703592311,-0.480831454866061,0.630636292560273,"Socio-demographic","high","Biodiversity"
"72","Proportion of green space",-0.030774537639212,0.0397703956428546,-0.773805166928007,0.439046016539708,"Socio-demographic","high","Biodiversity"
