"","variable","Estimate","std.error","z.value","P","mod","data","group"
"1","Tree species richness",-0.114494746554541,0.0255570437760446,-4.47996832332622,7.4654117646587e-06,"Biodiversity","both","Biodiversity"
"2","Distance to nearest ebird hotspot",0.016344457540313,0.0174718052400817,0.935476175227592,0.349542955890091,"Biodiversity","both","Biodiversity"
"3","Modeled bird Shannon diversity",-0.0918256071445245,0.0177577621742883,-5.17101232932829,2.32829203296556e-07,"Biodiversity","both","Biodiversity"
"4","Greenness within 500m buffer (NDVI)",-0.0414710957703686,0.0258803425063969,-1.6024168057327,0.109063470979288,"Biodiversity","both","Biodiversity"
"5","Distance to blue space",0.0847850569395144,0.0197333615837545,4.29653389665316,1.73489449917053e-05,"Biodiversity","both","Biodiversity"
"6","Distance to green space",0.00394344333046068,0.019966581678412,0.19750217608477,0.843434578709504,"Biodiversity","both","Biodiversity"
"7","Proportion of blue space",-0.0217097207771358,0.0191323854658734,-1.13471060970727,0.256496590459994,"Biodiversity","both","Biodiversity"
"8","Proportion of green space",-0.0471869083241865,0.0245218573599971,-1.9242795368822,0.0543195541288337,"Biodiversity","both","Biodiversity"
"9","Tree species richness",-0.057314271492949,0.0267239864781196,-2.1446752167711,0.0319788237537207,"Socio-demographic","both","Biodiversity"
"10","Distance to nearest ebird hotspot",0.005788285685111,0.0181862897710166,0.318277436354048,0.750274498277667,"Socio-demographic","both","Biodiversity"
"11","Modeled bird Shannon diversity",-0.0752462970395484,0.0183570032015582,-4.09905125653413,4.14847164724478e-05,"Socio-demographic","both","Biodiversity"
"12","Greenness within 500m buffer (NDVI)",-0.0162645825512571,0.0442611452426581,-0.367468633314567,0.713269484739607,"Socio-demographic","both","Biodiversity"
"13","Distance to blue space",0.0394108878012173,0.0204651770936767,1.92575356767347,0.0541351516984178,"Socio-demographic","both","Biodiversity"
"14","Distance to green space",-0.00764956583656577,0.0206269193582742,-0.370853529007339,0.710746629291296,"Socio-demographic","both","Biodiversity"
"15","Proportion of blue space",-0.0114620338521304,0.0192927150547172,-0.594112016873845,0.552437194021832,"Socio-demographic","both","Biodiversity"
"16","Proportion of green space",-0.0385323461023539,0.0250460366106953,-1.53846082321462,0.12393598043125,"Socio-demographic","both","Biodiversity"
"17","Tree species richness",-0.0550933310087251,0.02681095385123,-2.05488142325819,0.0398904591626812,"Health","both","Biodiversity"
"18","Distance to nearest ebird hotspot",0.00210183717392781,0.0182746266490047,0.115013959753989,0.90843405718993,"Health","both","Biodiversity"
