"","variable","Estimate","std.error","z.value","P","group"
"1","Tree species richness",-0.0550933310087251,0.02681095385123,-2.05488142325819,0.0398904591626812,"Biodiversity"
"2","Distance to nearest ebird hotspot",0.00210183717392781,0.0182746266490047,0.115013959753989,0.90843405718993,"Biodiversity"
"3","Modeled bird Shannon diversity",-0.0687980236050883,0.0184190280383924,-3.73516037120344,0.000187595600339439,"Biodiversity"
"4","Greenness within 500m buffer (NDVI)",-0.0254839044135001,0.0445748660606303,-0.571710173595074,0.567518340928012,"Biodiversity"
"5","Distance to blue space",0.035803244906383,0.0205626609066434,1.74117761650272,0.0816524495092281,"Biodiversity"
"6","Distance to green space",-0.00897234926785894,0.0207010459289935,-0.433424924452365,0.664706096500655,"Biodiversity"
"7","Proportion of blue space",-0.0124532260171412,0.019344204385414,-0.643770390811796,0.519724336720621,"Biodiversity"
"8","Proportion of green space",-0.0349888652217551,0.0251562757216382,-1.39086030098086,0.164267793150236,"Biodiversity"
